files,train,lr,knn,dt
446_prnn_crabs.csv,True,98.0,97.0,91.5
1473_fertility.csv,True,87.0,87.0,78.0
766_fri_c1_500_50.csv,True,61.2,60.0,77.0
750_pm10.csv,True,50.8,55.8,51.6
40665_clean1.csv,True,97.90780141843972,84.43262411347517,100.0
1020_mfeat-karhunen.csv,True,99.25,98.45,95.75
863_fri_c4_250_10.csv,True,64.0,72.0,76.8
467_analcatdata_japansolvent.csv,True,84.33333333333334,76.66666666666667,77.0
741_rmftsa_sleepdata.csv,True,68.56082238720731,71.59051970302684,69.83723586521987
1566_hill-valley.csv,False,73.68107302533534,57.1833084947839,58.418236011380564
847_wind.csv,True,85.21422325852521,84.544651242407,80.17929429616984
761_cpu_act.csv,True,93.4449358229846,89.84387563655858,90.49091694213647
31_credit-g.csv,True,76.8,72.5,69.6
4153_Smartphone-Based_Recognition_of_Human_Activities.csv,True,97.22222222222223,86.66666666666666,97.22222222222223
53_heart-statlog.csv,True,84.07407407407408,84.07407407407409,75.55555555555556
459_analcatdata_asbestos.csv,True,82.91666666666666,75.97222222222221,76.25
716_fri_c3_100_50.csv,True,53.0,63.0,75.0
1068_pc1.csv,True,92.6961506961507,92.51597051597052,90.98280098280098
